Minnesota,71920,71728,71114,69696,67798,64197,66098,63156,58951,64240,62687,68808,68508,68218,72986,70574,74635,73117,77440,69422,72239,65026,63976,60780,55207,56423,53207,51886,57397,57777,58110,58128,56619,51974,55065
Mississippi,43441,41983,41426,36816,34085,43056,39192,44882,42996,40175,41597,44182,42332,41366,45213,43726,42197,41861,48960,47934,43893,43538,41636,42522,41679,37174,35327,34278,36808,38123,36292,38321,35357,35758,34770
Missouri,56885,56199,61249,58695,48804,53029,53229,49998,51623,55855,52544,54523,54332,54088,54816,58468,58449,57376,64373,61076,60595,55843,53479,55800,49539,48047,46990,49153,49858,50718,46834,49099,46945,47797,46815
Montana,59087,58302,53177,52965,45534,46516,48227,43994,46511,46313,48963,51738,50098,46950,44173,45570,47598,44589,46787,45808,47596,44628,44768,44475,45340,44342,45554,43698,42640,45349,44413,42380,43526,44087,44023
Nebraska,59619,60651,62571,58944,60735,56679,55830,60748,59157,56801,57897,58279,58678,60300,56961,58751,58476,60529,59596,57007,54886,53000,53087,52762,52171,51944,51605,52010,50131,50377,50262,48164,46617,47492,48217
Nevada,56550,56623,53812,51694,54646,47820,50629,51384,57688,58908,62481,64067,63720,60660,61408,60368,61430,63016,65317,61191,59924,59358,60151,57818,58861,59995,54799,57973,58415,56160,55904,55636,56135,50706,58084
New Hampshire,74801,77900,78299,76073,72831,75174,72541,71960,75077,73450,75528,80088,75527,71702,73911,74240,75590,71244,72694,67972,67766,62633,61504,62764,57834,63596,67728,63421,74435,71840,69173,66938,65408,57523,58395
New Jersey,72997,69940,70728,67622,67198,65119,71336,68091,70947,74189,74535,71712,82948,79735,71907,74879,74561,71854,71950,73401,75103,73363,74085,70380,69378,67845,66979,70491,70657,74880,72494,70877,67907,67494,62591
New Mexico,47855,49493,46684,48388,42336,44402,46448,45856,50853,49869,48052,52569,48785,49006,51466,46902,48448,45974,50093,48075,47545,45963,39153,41646,44149,44824,44412,46714,45675,43263,38549,42968,42491,44494,46488
New York,62447,62758,60017,56290,52665,56751,51000,55309,56089,57513,57592,58007,58772,59361,58084,57167,57342,58451,58160,59019,56364,54689,55266,52921,52343,53098,53327,55961,57627,60287,57766,54614,53583,51501,49636
North Carolina,50343,54920,52559,48490,48840,43434,44446,49378,49384,47995,48997,51570,48503,52918,52346,49807,49894,52966,54695,54982,54019,54753,55564,51240,49414,48279,47694,47264,48028,50544,48776,47112,46808,46734,46351
North Dakota,59886,61478,59406,62944,62347,55745,59649,61562,57469,57351,56645,55946,50027,53089,51021,53990,49463,49678,51382,48207,45677,48369,49117,46610,46402,47103,46300,45573,46085,48291,48131,46731,46052,46198,46806
Ohio,59768,55146,55150,51454,53489,48904,47465,48768,51701,52545,53567,58190,55942,55620,56010,58145,58323,57995,61326,58281,58672,55203,53175,55986,52271,52408,53934,52434,54748,55549,55419,53349,53775,54845,52106
Oklahoma,55006,52039,48710,48920,48655,46142,51778,52927,48565,52544,52627,51218,47335,47368,51534,47967,49816,49423,46295,48236,50837,47896,42822,42158,44290,43990,43423,44816,44480,45301,47282,44899,44853,46198,47656
Oregon,64610,60407,62944,61022,51646,59348,55380,56281,57014,56232,59037,59538,57393,55564,53329,55630,57118,57284,60665,59949,58886,56903,55394,58282,51616,55512,54832,53138,53413,54607,55435,51828,53043,47699,48221
Pennsylvania,63173,62290,62483,57185,58135,56866,55518,54516,54436,55172,58666,57406,59082,58258,57378,57361,58069,60373,60204,55726,58808,57315,54468,55318,52617,51922,51320,53449,52910,54916,53425,52627,50975,49841,45848
Rhode Island,66390,62851,57633,60771,59365,60935,59969,53558,58164,59137,60765,64248,65492,62265,62359,59736,57958,63460,60234,63048,61326,53160,57726,56656,52391,56133,52264,54275,58315,57660,59618,58563,56826,53649,48701
South Carolina,54971,55505,47968,46567,45916,46112,47493,43783,46982,47073,48112,52400,48284,50621,50333,51410,51666,52375,53629,53813,50144,52343,54103,46581,48975,43643,47363,48338,52417,45552,51009,51850,47037,43651,45765
South Dakota,56894,58685,56975,54987,56298,57394,52856,51581,51099,52485,58892,55013,55365,54296,53476,52803,51749,55060,52066,52878,49419,45364,46083,47393,48789,46464,45098,43368,44821,46145,44539,43782,42605,39525,43737
Tennessee,55240,52448,48971,45310,45703,44795,45989,46181,43481,46404,45313,48823,49595,49584,49528,50133,50597,49664,48670,53902,51386,46803,48055,46491,46994,42050,41764,43040,41211,43280,41666,43840,39089,38732,37817
Texas,59295,59396,58432,55839,54183,55891,55542,53573,53255,54373,53060,54580,52781,52120,53853,52468,54859,56711,55112,57099,53936,53585,51617,51336,50466,48123,48007,48813,51492,49548,49871,51171,51735,51727,51883
Utah,71319,68932,68556,65694,64344,66368,62403,60614,63886,66990,71375,63440,66579,68970,66178,65834,65397,65707,67875,67964,66772,65348,57807,58452,58607,59948,58823,49311,54984,58796,52568,54914,56272,54984,51957
Vermont,63805,62145,61557,62922,69052,57804,59452,56648,63015,59920,57872,56165,63353,63800,61570,57799,58753,56619,56518,61373,59346,53551,50503,54196,58748,52039,56254,51316,56728,59902,57912,52608,52670,56645,50878
Virginia,71293,67880,63618,68567,69467,71272,69132,68394,68017,69292,70745,70115,69615,65322,66529,73193,67815,69731,67322,67437,65348,65626,61198,58039,61775,61032,65602,63605,63979,65305,65224,62090,63625,61936,59772
Washington,75418,71822,69575,61222,67375,63353,66517,62096,63280,69167,64634,68834,66695,63727,64944,63473,61738,58973,60702,67113,71478,68078,57242,56991,55025,59728,58220,59791,58577,61177,64582,56549,57557,52287,56374
West Virginia,45392,45308,44309,40994,45395,42415,46586,45680,48198,46373,43363,49885,46824,45858,43415,43773,40116,41184,41982,43239,40251,41994,39404,39865,38666,37559,34814,40741,40381,41492,38663,35618,35252,34821,37955
Wisconsin,63451,61103,57347,60198,54520,58243,56775,56862,56731,58682,58436,60771,63001,56182,59493,61818,62721,62937,64360,67399,62292,60490,62431,65623,58068,53214,57204,54798,56022,55744,59085,54583,56591,50645,46743
Wyoming,57837,59073,63038,57721,71084,58709,61517,59539,58816,60094,60875,57769,57332,56268,59057,56855,54332,55127,56568,54974,53133,51061,48310,50519,54380,49320,51881,51131,53740,56506,52780,57110,50444,48106,53668
